No.,Date,Transaksi_Id,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16
1,4/1/2021 11:10,TID_1,SURYA GUDANG GARAM 16 FILTER,POWDET DAIA SOFTENER BAG 290 GR,,,,,,,,,,,,,,
2,4/1/2021 11:11,TID_2,SURYA GUDANG GARAM 16 FILTER,,,,,,,,,,,,,,,
3,4/1/2021 11:16,TID_3,SUPER STAR,,,,,,,,,,,,,,,
4,4/1/2021 11:58,TID_4,SARI WANGI 50X1.85,BIMOLI KLASIK TOUCH 1 LT,,,,,,,,,,,,,,
5,4/1/2021 15:54,TID_5,SURYA GUDANG GARAM 16 FILTER,,,,,,,,,,,,,,,
6,4/1/2021 15:55,TID_6,GUDANG GARAM SURYA 12 FILTER,INDOMIE GORENG PEDAS,INDOMIE SAMBAL RICA,BALON CABUTR,,,,,,,,,,,,
7,4/1/2021 16:35,TID_7,SUSU FOYU,MINYAK GORENG SEDAAP POUCH 2L,,,,,,,,,,,,,,
8,4/1/2021 16:36,TID_8,PERMEN MINTZ PPMINT,,,,,,,,,,,,,,,
9,4/1/2021 17:03,TID_9,SURYA GUDANG GARAM 16 FILTER,,,,,,,,,,,,,,,
10,4/1/2021 17:11,TID_10,REXONA WMN RO POWDER DRY 45 ML,,,,,,,,,,,,,,,
11,4/1/2021 17:17,TID_11,ICHITAN MILK TEA,ICHI OCHA MELATI,KALPA,YUPI,KUACI FUZO,,,,,,,,,,,
12,4/1/2021 17:21,TID_12,SPRITE SLIM CAM250ML,,,,,,,,,,,,,,,
13,4/1/2021 17:42,TID_13,SABUN HARMONY APPLE 70G,,,,,,,,,,,,,,,
14,4/1/2021 18:30,TID_14,VASELINE MEN ANTI ACNE 50G,,,,,,,,,,,,,,,
15,4/1/2021 19:36,TID_15,SARDEN SAUS TOMAT,TORA BIKA CAPPUCINO,,,,,,,,,,,,,,
16,4/1/2021 19:37,TID_16,MINYAK GORENG SABRINA 2L POUCH,KRISBEE PILLOW CHOCOLAVA 120 GR,,,,,,,,,,,,,,
17,4/1/2021 20:13,TID_17,TERIGU GATOT KACA 500GR,TERIGU GATOT KACA 1 KG,,,,,,,,,,,,,,
18,4/1/2021 20:31,TID_18,WFR TANGO LONG CKLT 130G,WFR TANGO LONG VNL 130G,BKM COKLAT 370G,TANGO WALUT CHOCOBNN 18G,,,,,,,,,,,,
19,4/1/2021 21:36,TID_19,MIWON 100 GR,,,,,,,,,,,,,,,
20,4/2/2021 12:09,TID_20,YOU C1000,BKM SCT PUTIH 40G,POTABEE AYAM BAKAR PEDAS 35 GR,INTER MIE GORENG,ROMA KELAPA,ROMA SANDWICH CKLT,GULA 1 LITER,MALKIST CKLT KELAPA PACK,EMERON LOVELY MOIST&BRIGHT 200ML,TUSUK TELINGA,ROYCO FDS BEEF 9G,,,,,
21,4/2/2021 12:12,TID_21,SO NICE SAPI,,,,,,,,,,,,,,,
22,4/2/2021 12:26,TID_22,BERAS BUMN 5KG,SWEETY BRONZE L20,,,,,,,,,,,,,,
23,4/2/2021 12:27,TID_23,ROKOK PUNDIMAS KRETEK16,,,,,,,,,,,,,,,
24,4/2/2021 13:48,TID_24,REXONA DEO LOTION ICE COOL,KOPIKO COFFE CANDY,ADES 600ML,,,,,,,,,,,,,
25,4/2/2021 14:17,TID_25,GUDANG GARAM SURYA 12 FILTER,,,,,,,,,,,,,,,
26,4/2/2021 14:21,TID_26,INDOMIE GORENG JUMBO,INDOMIE COTO MAKASSAR,REXONA WMN RO ADVANCED WHITE 45 ML,EKOMIE BUMBU KALDU AYAM,,,,,,,,,,,,
27,4/2/2021 14:50,TID_27,ICHITAN GREEN TEA,MIE SEDAAP KOREAN SPICY,,,,,,,,,,,,,,
28,4/2/2021 15:05,TID_28,MIE SEDAAP KOREAN SPICY,,,,,,,,,,,,,,,
29,4/2/2021 15:13,TID_29,INDOMIE MIE ACEH,INDOMIE GORENG PEDAS,MIE SEDAAP KOREAN SPICY SOUP,MIE SEDAAP KOREAN SPICY,,,,,,,,,,,,
30,4/2/2021 15:54,TID_30,FLORIDINA ORANGE,FF MILKY CKLT 180ML,FF MILKY STRY 180ML,WFR TANGO LONG VNL 130G,TWISTER BLACK,CHACHA PEANUT 35GR,MARSHMELLOW,,,,,,,,,
31,4/2/2021 16:04,TID_31,GOLDA DOLCE LATTE 200ML,,,,,,,,,,,,,,,
32,4/2/2021 16:32,TID_32,SUPERSTAR,SILVERQUEEN ALMOND 65G,,,,,,,,,,,,,,
33,4/2/2021 17:14,TID_33,SURYA GUDANG GARAM 16 FILTER,,,,,,,,,,,,,,,
34,4/2/2021 17:43,TID_34,KODOMO TP GRAPE TUBE 45G,MY BABY MINYAK TELON 90ML,TANGO WAFFLE MILK,CLOSEUP GREEN 65G,MINICOCO RAINBOW,ULTRA CHO 125,KINDER JOY,,,,,,,,,
35,4/2/2021 18:01,TID_35,BABY LOVE COTTON BUDS,BENG-BENG SHARE IT,SARIMIE GORENG AYAM KCP ISI 2,SARIMIE GORENG ISI 2,MINYAK GORENG SEDAAP POUCH 1 L,ICHITAN MILK TEA,SWEETY SILVER PANTS XXL 18,SAFFANAH ROTI BOX,,,,,,,,
36,4/2/2021 18:36,TID_36,INDOMIE SAMBAL RICA,ADES 600ML,GUDANG GARAM SURYA 12 FILTER,,,,,,,,,,,,,
37,4/2/2021 18:37,TID_37,MINYAK GORENG SEDAAP POUCH 2L,,,,,,,,,,,,,,,
38,4/2/2021 18:46,TID_38,LE MINERAL 1500ML,,,,,,,,,,,,,,,
39,4/2/2021 19:04,TID_39,TERIGU GATOT KACA 1 KG,MINYAK GORENG SEDAAP POUCH 2L,,,,,,,,,,,,,,
40,4/2/2021 19:19,TID_40,YOU C1000,ULTRA CHO 125,,,,,,,,,,,,,,
41,4/2/2021 19:22,TID_41,MALKIST KELAPA KOPYOR,SURYA GUDANG GARAM 16 FILTER,SAFFANAH ROTI SOSIS,GOOD DAY CAPPUCINO 10X25G,,,,,,,,,,,,
42,4/2/2021 19:37,TID_42,YUPI,POLITEX SABUT STENLESS,,,,,,,,,,,,,,
43,4/2/2021 20:08,TID_43,GUDANG GARAM SURYA 12 FILTER,,,,,,,,,,,,,,,
44,4/3/2021 11:15,TID_44,SOKLIN SOFTERGENT PURPLE BAG 770 & PIRING,MOLTO GLAMOUR,BIMURA TARO SEAWEED 250G,SAFFANAH ROTI SOSIS,MINYAK GORENG SEDAAP POUCH 2L,BALON CABUTR,FULLO BLASTO,SUNLIGHT MINT POUCH 755ML,"RINSO MOLTO ROSE FRESH PWD 1,8KG",MINYAK KAYU PUTIH 60ML,MOLTO ALL IN ONE BLUE 11ML,REXONA DEO LOTION FREE SPIRIT 9G,GATSBY NORMAL 38GR,SOKLIN FLOORCLENER UNGU 900ML,SARI GANDUM SANDWICH,NU MILK TEA TEH TARIK 330ML
45,4/3/2021 11:31,TID_45,LE MINERAL 1500ML,,,,,,,,,,,,,,,
46,4/3/2021 12:46,TID_46,SAFFANAH ROTI TAWAR KUPAS,,,,,,,,,,,,,,,
47,4/3/2021 13:07,TID_47,YOU C1000,,,,,,,,,,,,,,,
48,4/3/2021 14:13,TID_48,CREAM EKONOMI LEMON 455G,SABUN HARMONY STRAWBERRY 70G,,,,,,,,,,,,,,
49,4/3/2021 14:36,TID_49,ICHITAN MILK TEA,SPRITE PET 390ML,,,,,,,,,,,,,,
50,4/3/2021 14:38,TID_50,GULA 1 LITER,,,,,,,,,,,,,,,
51,4/3/2021 15:30,TID_51,GUDANG GARAM SURYA 12 FILTER,,,,,,,,,,,,,,,
52,4/3/2021 15:38,TID_52,SFX COMFORT SLIM 36CM 12+1,,,,,,,,,,,,,,,
53,4/3/2021 15:46,TID_53,FANTA STRAW PET 250ML,FRESTEA APPEL 500ML,,,,,,,,,,,,,,
54,4/3/2021 15:54,TID_54,FRESTEA GREEN HONEY 350ML,,,,,,,,,,,,,,,
55,4/3/2021 17:21,TID_55,FRESTEA APPLE 350ML,YOU C1000,TWISTER BLACK,SAFFANAH ROTI TAWAR COKLAT,TICTIC,POTABEE REGULER GRILLED SEAWEED 35GR,POTABEE REGULER BBQ BEEF 68 GR,,,,,,,,,
56,4/3/2021 17:22,TID_56,MADU FLORES,SURYA GUDANG GARAM 16 FILTER,,,,,,,,,,,,,,
57,4/3/2021 19:47,TID_57,BIMURA TARO SEAWEED 250G,TANGO WAFFLE CHOX,KODOMO TB REG 2IN1,SAFFANAH TAWAR ORI,,,,,,,,,,,,
58,4/3/2021 20:13,TID_58,SUNLIGHT LIME NEW PCH 435ML,SFX DS REG FLOW NW 8,SHINZUI 85G,,,,,,,,,,,,,
59,4/3/2021 20:52,TID_59,SASA TEPUNG KENTUCKY 80G,MINYAK GORENG SEDAAP POUCH 2L,TICTIC,WFR TANGO CKLT 7G,TANGO WAFFLE MILK,SAFFANAH ROTI TAWAR COKLAT,CLEAR HIJAB AD SHP HF TMT 160ML,INDOMIE COTO MAKASSAR,JD CRUNCHY CHOCOLATE VAN,,,,,,,
60,4/7/2021 10:23,TID_60,SAFFANAH ROTI TAWAR KUPAS,BKM COKLAT 370G,,,,,,,,,,,,,,
